,cz,Name,AllParentIncomeAmericanIndian,AllParentIncomeAllRaces,AllParentIncomeAsian,AllParentIncomeWhite,AllParentIncomeHispanic,Individual_Income_Excluding_Spouse_at_Age_35_rB_gP_pall
72,cz19600,"Newark, NJ & NY",26341.0,36944,44824.0,41270,31917.0,27069.0
73,cz7000,"Miami, FL",26296.0,28716,36843.0,33734,31252.0,23143.0
74,cz34701,"Honolulu, HI",26213.0,33521,37402.0,32597,29317.0,28241.0
75,cz33100,"Dallas, TX",26207.0,29735,40634.0,34333,27717.0,23225.0
76,cz31301,"San Antonio, TX",26165.0,28325,35418.0,33615,26675.0,24769.0
77,cz38402,"Pullman, ID & WA",26164.0,32654,41501.0,33292,26978.0,30805.0
78,cz1202,"Sylva, NC",26149.0,25147,,25931,25009.0,21458.0
79,cz8800,"Savannah, GA & SC",26143.0,26641,37475.0,30733,26889.0,21658.0
80,cz14400,"Terre Haute, IN",26103.0,28262,39221.0,28787,27695.0,23434.0
81,cz9600,"LaGrange, AL & GA",26091.0,25321,33925.0,27255,27024.0,21105.0
82,cz28704,"Laramie, CO & WY",26087.0,32638,41950.0,33344,29758.0,40864.0
83,cz19100,"Reading, PA",26063.0,32867,38328.0,34313,23741.0,22691.0
84,cz37602,"Winnemucca, NV",26003.0,31459,,32505,33106.0,
85,cz37800,"San Francisco, CA",25944.0,35071,42347.0,37645,32771.0,25711.0
86,cz34102,"Anchorage, AK",25931.0,33026,35940.0,34996,30617.0,27914.0
87,cz32301,"San Angelo, TX",25925.0,27778,35255.0,31652,24566.0,22524.0
88,cz34110,"Sitka, AK",25851.0,29787,44889.0,31954,25549.0,
89,cz22500,"Oshkosh, WI",25822.0,34058,32575.0,34664,28675.0,23507.0
90,cz24300,"Chicago, IL",25809.0,33003,41545.0,38034,30188.0,22777.0
91,cz33700,"Ardmore, OK",25803.0,27116,33314.0,28515,26923.0,20697.0
92,cz23700,"Galesburg, IL",25731.0,30458,39761.0,30992,25783.0,25066.0
93,cz8503,"Valdosta, GA",25662.0,23628,36536.0,27591,22850.0,18301.0
94,cz30402,"Tulsa, OK",25653.0,28518,37788.0,30711,26576.0,21793.0
95,cz35903,"Moab, UT",25645.0,28944,,29875,27834.0,
96,cz20800,"Springfield, MA",25568.0,33105,35364.0,35379,23229.0,25241.0
97,cz29403,"Bartlesville, KS & OK",25549.0,28977,43966.0,30108,26193.0,20744.0
98,cz34108,"Kodiak, AK",25509.0,30400,35182.0,31168,19537.0,25154.0
99,cz2500,"Newport News, VA",25482.0,29284,38186.0,32585,27789.0,24558.0
100,cz12402,"Grayling charter, MI",25441.0,27342,24515.0,27799,26285.0,19478.0
101,cz6100,"Gadsden, AL",25421.0,24551,41289.0,25628,20608.0,21092.0
102,cz24701,"St. Louis, IL & MO",25380.0,31128,38416.0,34180,29618.0,22073.0
103,cz12100,"Kalamazoo, MI",25354.0,29303,36508.0,30615,26914.0,21353.0
104,cz37500,"San Jose, CA",25242.0,33936,42757.0,36967,30398.0,28331.0
105,cz33901,"Ada, OK",25237.0,26400,20981.0,27807,22538.0,21170.0
106,cz34115,"Fairbanks, AK",25186.0,32370,33139.0,34477,30724.0,24485.0
107,cz32100,"Beaumont, TX",25159.0,28896,36289.0,32029,28992.0,23384.0
108,cz30601,"El Paso, NM & TX",25140.0,26599,34066.0,31397,27619.0,25088.0
109,cz19400,"New York, NY",25134.0,33675,39209.0,41160,29369.0,27201.0
110,cz5500,"Columbia, TN",25122.0,26410,30847.0,27531,24665.0,22287.0
111,cz30000,"Russellville, AR",25101.0,25263,29557.0,26040,24328.0,22333.0
112,cz16400,"Youngstown, OH & PA",25046.0,29702,38357.0,31189,24111.0,19756.0
113,cz19500,"Toms River, NJ",24993.0,36482,44607.0,37966,31703.0,26868.0
114,cz1002,"Morganton, NC",24981.0,24344,31095.0,24894,25549.0,21617.0
115,cz11401,"Marquette, MI",24970.0,30605,34404.0,31162,28686.0,26281.0
116,cz23900,"Peoria, IL",24950.0,31277,42597.0,32639,28762.0,20414.0
117,cz28401,"Colorado Springs, CO",24943.0,29420,33617.0,30925,26519.0,24485.0
118,cz25500,"Centralia, IL",24850.0,31362,42276.0,32217,27642.0,20433.0
119,cz30100,"Fort Smith, AR & OK",24801.0,25567,32035.0,26726,23353.0,20784.0
120,cz38300,"Los Angeles, AZ & CA",24774.0,30002,38913.0,33668,28708.0,23594.0
121,cz7400,"Orlando, FL",24771.0,27352,35362.0,30137,26986.0,21071.0
122,cz34801,"Las Vegas, NM",24767.0,25463,,28432,25326.0,23444.0
123,cz34109,"Juneau, AK",24756.0,33490,35956.0,35661,34548.0,29180.0
124,cz29902,"Center, MO",24724.0,25880,35792.0,26367,23717.0,23466.0
125,cz3800,"Lafayette, LA",24702.0,29334,32565.0,32515,27706.0,22937.0
126,cz2400,"Richmond, VA",24684.0,30316,37961.0,34434,28910.0,24142.0
127,cz10502,"Starkville, MS",24650.0,24324,40917.0,30673,26492.0,19399.0
128,cz30501,"Woodward, OK",24643.0,31120,,31824,29455.0,
129,cz12401,"Alpena, MI",24635.0,28415,32653.0,28792,25342.0,21127.0
130,cz8202,"Charleston, SC",24596.0,27012,34638.0,29967,27170.0,23502.0
131,cz11900,"Saginaw, MI",24595.0,29392,35895.0,30871,25129.0,20645.0
132,cz34107,"Dillingham, AK",24550.0,27915,,37920,,
133,cz1701,"Raleigh, NC",24529.0,29842,38948.0,33335,26736.0,23070.0
134,cz26001,"Roseau, MN",24527.0,33589,36011.0,34032,,
135,cz11403,"Sault Ste. Marie, MI",24477.0,27400,27147.0,29057,25024.0,19219.0
136,cz29901,"Joplin, KS & MO & OK",24461.0,26727,35379.0,27341,25858.0,21740.0
137,cz9100,"Atlanta, GA",24434.0,28744,35247.0,33259,27796.0,22982.0
138,cz28102,"Nebraska City, NE",24386.0,33299,35075.0,33935,23374.0,
139,cz3700,"Lake Charles, LA",24372.0,28420,36241.0,30499,26923.0,24041.0
140,cz37100,"Bakersfield, CA",24365.0,28159,35931.0,30900,28031.0,22463.0
141,cz20600,"Manchester, ME & NH",24355.0,33845,38229.0,34492,29547.0,28735.0
142,cz29602,"Eldon, MO",24342.0,26047,26574.0,26494,26059.0,22973.0
143,cz15400,"Zanesville, OH",24291.0,27509,35481.0,28212,24799.0,20110.0
144,cz33801,"Elk City, OK",24253.0,29507,42712.0,30878,26201.0,22012.0
145,cz11001,"Mobile, AL",24241.0,26385,32194.0,29912,28199.0,21298.0
146,cz33902,"Sherman, OK & TX",24221.0,27141,31877.0,28816,24871.0,20772.0
147,cz38801,"Portland, OR & WA",24202.0,30486,35844.0,31655,26959.0,23669.0
148,cz24200,"Bourbonnais, IL",24195.0,30718,45280.0,32902,27403.0,21675.0
149,cz37000,"Modesto, CA",24178.0,27334,34478.0,29810,26032.0,22209.0
150,cz33602,"Altus, OK",24174.0,26732,32009.0,29308,25126.0,20792.0
151,cz2200,"South Boston, VA",24147.0,26257,34830.0,30156,22392.0,22655.0
152,cz2700,"Gulfport, MS",24132.0,25628,31053.0,27474,27073.0,21048.0
153,cz19200,"Harrisburg, PA",24102.0,32439,38508.0,33839,25466.0,22284.0
154,cz27903,"Grand Island, NE",24056.0,32905,30677.0,34106,26741.0,28466.0
155,cz10700,"Birmingham, AL",24047.0,27184,37944.0,30374,24843.0,22547.0
156,cz30502,"Enid, OK",24038.0,29548,38218.0,30738,25893.0,23299.0
157,cz29503,"St. Joseph, KS & MO",24034.0,28959,45253.0,29464,28987.0,23244.0
158,cz33803,"Oklahoma City, OK",24027.0,28497,38399.0,30648,25740.0,23159.0
159,cz37902,"Reno, NV",24024.0,25351,,28250,17991.0,
160,cz39201,"La Grande, OR",24021.0,28985,32202.0,29571,25417.0,
161,cz34113,"Barrow, AK",23987.0,24961,,32927,,
162,cz31600,"Brownsville, TX",23946.0,27818,38998.0,31372,28904.0,27430.0
163,cz29502,"Kansas City, KS & MO",23912.0,31242,36282.0,33444,28916.0,24113.0
164,cz37901,"Las Vegas, AZ & NV",23886.0,26978,34414.0,28924,26578.0,21668.0
165,cz30701,"Roswell, NM",23882.0,28630,37617.0,31998,26797.0,28331.0
166,cz23100,"Madison, WI",23855.0,34484,36382.0,35578,28499.0,22049.0
167,cz38200,"Santa Barbara, CA",23825.0,30440,37877.0,32863,29011.0,24824.0
168,cz12200,"Grand Rapids, MI",23775.0,29734,32659.0,31220,24892.0,20354.0
169,cz30401,"Stillwater, OK",23774.0,29135,42437.0,30268,25919.0,24850.0
170,cz30200,"Muskogee, OK",23727.0,24513,38790.0,26527,23598.0,19932.0
171,cz25701,"Cape Girardeau, MO",23721.0,27347,33262.0,28815,26482.0,17700.0
172,cz19800,"Wilmington, DE & MD",23716.0,31958,43554.0,34838,27931.0,24773.0
173,cz18300,"Watertown, NY",23669.0,29696,33625.0,30213,26082.0,23498.0
174,cz36902,"Roseburg, OR",23631.0,26624,32148.0,27456,24809.0,25156.0
175,cz3400,"Houma, LA",23617.0,29759,32935.0,33159,26923.0,20951.0
176,cz19300,"Poughkeepsie, NY",23597.0,33974,43263.0,35713,30562.0,25573.0
177,cz29301,"Wichita, KS",23575.0,29421,36640.0,31160,26834.0,21208.0
178,cz19000,"Allentown, PA",23523.0,34278,41194.0,35954,25454.0,24462.0
179,cz33200,"Paris, TX",23517.0,26273,31823.0,28364,25067.0,20788.0
180,cz32801,"Waco, TX",23505.0,26731,37874.0,31573,23892.0,19660.0
181,cz19700,"Philadelphia, NJ & PA",23495.0,33227,40015.0,37105,26281.0,23594.0
182,cz3300,"New Orleans, LA",23482.0,28489,36481.0,33464,30047.0,22832.0
183,cz32900,"Killeen, TX",23450.0,27007,33814.0,29758,25976.0,22939.0
184,cz17900,"Union, NY & PA",23422.0,31436,38765.0,31945,29120.0,22674.0
185,cz3600,"Alexandria, LA",23419.0,26617,33173.0,30198,26564.0,21067.0
186,cz1500,"Wilmington, NC",23412.0,25345,35406.0,27953,24228.0,20206.0
187,cz28502,"Pueblo, CO",23386.0,27159,34618.0,30298,24555.0,25449.0
188,cz34601,"Gillette, WY",23385.0,35891,,36683,30154.0,
189,cz15200,"Cleveland, OH",23385.0,31105,42402.0,33764,26853.0,20977.0
190,cz23801,"Davenport, IA & IL",23373.0,32441,36380.0,33949,29045.0,21642.0
191,cz2000,"Virginia Beach, NC & VA",23309.0,28201,37287.0,31390,28435.0,23160.0
192,cz13300,"Findlay, OH",23266.0,30982,35122.0,31819,26015.0,21490.0
193,cz27202,"Worthington, IA & MN",23263.0,35148,31041.0,36035,28109.0,24644.0
194,cz11600,"Detroit, MI",23254.0,30329,40067.0,32912,27244.0,22988.0
195,cz24900,"Edwardsville, IL",23210.0,30387,39272.0,31470,26105.0,20343.0
196,cz22900,"La Crosse, MN & WI",23190.0,32759,29860.0,33394,28909.0,22926.0
197,cz27501,"Des Moines, IA",23186.0,34199,36139.0,35359,28357.0,23189.0
198,cz32202,"Nacogdoches, TX",23174.0,26413,35067.0,29632,27713.0,21047.0
199,cz6200,"Florence, AL & TN",23126.0,25880,31956.0,26794,23797.0,23317.0
200,cz800,"Gastonia, NC",23114.0,25139,32259.0,26698,23240.0,21044.0
201,cz24600,"Farmington, MO",23113.0,26743,33230.0,27259,22044.0,20995.0
202,cz9900,"Tallahassee, FL",23103.0,25977,38728.0,29642,28155.0,20046.0
203,cz5600,"Nashville, TN",23102.0,28131,33114.0,29989,26136.0,23074.0
204,cz11302,"Baltimore, MD",23098.0,32208,40487.0,36269,31453.0,25281.0
205,cz14500,"Lafayette, IL & IN",23086.0,29830,40447.0,30614,27274.0,22913.0
