,cz,Name,AllParentIncomeAmericanIndian,AllParentIncomeAllRaces,AllParentIncomeAsian,AllParentIncomeWhite,AllParentIncomeHispanic,Individual_Income_Excluding_Spouse_at_Age_35_rB_gP_pall
318,cz22700,"Wausau, WI",20391.0,33774,29713.0,34403,24768.0,29154.0
319,cz36901,"Crescent City, CA & OR",20371.0,25168,36852.0,26020,23886.0,22482.0
320,cz34402,"Bozeman, MT",20353.0,31177,37464.0,31743,31926.0,29165.0
321,cz9701,"Columbus, AL & GA",20299.0,24387,34291.0,27818,25923.0,21535.0
322,cz17800,"Oneonta, NY",20268.0,29984,36168.0,30537,26856.0,21792.0
323,cz11102,"Troy, AL",20256.0,25722,45373.0,28919,21947.0,20434.0
324,cz17100,"Huntington, KY & OH & WV",20209.0,25213,36949.0,25711,23504.0,22209.0
325,cz4302,"Searcy, AR",20203.0,25491,26335.0,26726,27016.0,18907.0
326,cz17700,"Syracuse, NY",20137.0,32428,37906.0,33698,26131.0,21489.0
327,cz20001,"Bangor, ME",20129.0,28554,35909.0,29117,26160.0,26391.0
328,cz22601,"Green Bay, WI",20123.0,34310,32025.0,35367,25795.0,24134.0
329,cz37601,"Elko, NV",20120.0,31446,42867.0,32811,31554.0,18464.0
330,cz21502,"Pine City, MN",20106.0,32395,33401.0,33153,22417.0,22715.0
331,cz25000,"Quincy, IL & MO",20074.0,29968,41116.0,30692,27568.0,21214.0
332,cz13700,"Concord, IN & MI",20049.0,28992,35787.0,29823,28538.0,20341.0
333,cz36501,"Klamath Falls, CA & OR",20031.0,28527,31649.0,29748,27355.0,26798.0
334,cz24802,"Springfield, IL",19997.0,30997,42067.0,32493,31677.0,20150.0
335,cz4200,"Little Rock, AR",19974.0,26681,34618.0,29345,24740.0,21804.0
336,cz35701,"Twin Falls, ID",19941.0,28012,37217.0,28992,26126.0,23921.0
337,cz21501,"Minneapolis, MN & WI",19935.0,36401,36713.0,37951,30883.0,24934.0
338,cz7700,"Lake City, FL",19901.0,23912,35416.0,25952,24317.0,19388.0
339,cz21001,"Ashland, WI",19860.0,31319,33501.0,32298,20573.0,
340,cz1800,"Goldsboro, NC",19849.0,25446,33557.0,28876,22499.0,21766.0
341,cz13200,"Owensboro, KY",19785.0,28471,36941.0,29170,23710.0,21516.0
342,cz5900,"Clarksville, KY & TN",19736.0,25628,32202.0,27334,26196.0,21882.0
343,cz34105,"Kotzebue, AK",19731.0,19864,,31745,,
344,cz12002,"Ludington, MI",19686.0,28063,33151.0,28861,22963.0,24982.0
345,cz8100,"Columbia, SC",19666.0,27259,38219.0,31000,27279.0,23278.0
346,cz16600,"Roanoke, VA & WV",19546.0,28333,35226.0,29576,26056.0,21783.0
347,cz6600,"Rome, AL & GA",19541.0,24681,34439.0,26004,24334.0,21454.0
348,cz9200,"Griffin, GA",19512.0,23740,30135.0,26111,24748.0,20098.0
349,cz20401,"Providence, MA & RI",19477.0,34021,35719.0,35612,26278.0,26494.0
350,cz15000,"Canton, OH",19389.0,29855,38235.0,30707,27503.0,20771.0
351,cz6502,"Cleveland, TN",19387.0,24288,30736.0,24987,22383.0,22779.0
352,cz26803,"Jamestown, ND",19370.0,36518,,36992,28908.0,
353,cz29800,"Aurora, MO",19337.0,25153,31943.0,25882,22806.0,19022.0
354,cz32701,"Brownwood, TX",19302.0,27441,31190.0,29191,26329.0,21373.0
355,cz401,"Winston-Salem, NC",19272.0,27531,34049.0,30077,24945.0,21400.0
356,cz38501,"Moses Lake, WA",19271.0,29204,31372.0,30872,28181.0,19156.0
357,cz700,"Spartanburg, NC & SC",19270.0,26022,31609.0,27952,24199.0,22391.0
358,cz4402,"Richmond, KY",19264.0,23702,36729.0,24361,25256.0,20156.0
359,cz14000,"Muncie, IN",19232.0,26707,37928.0,27683,24068.0,20920.0
360,cz7900,"Gainesville, FL",19197.0,26593,39831.0,29364,29167.0,19017.0
361,cz8401,"Aiken, GA & SC",19148.0,26450,41445.0,29856,26621.0,22379.0
362,cz36800,"Medford, OR",19138.0,26770,30592.0,27741,25084.0,21005.0
363,cz1100,"Hickory, NC",19135.0,25798,29130.0,27314,23792.0,20186.0
364,cz35001,"Phoenix, AZ",19095.0,29299,37912.0,31960,26708.0,24097.0
365,cz27802,"Columbus, NE",19065.0,35336,,36473,26718.0,28603.0
366,cz36600,"Redding, CA",19035.0,27389,30350.0,28318,26756.0,24648.0
367,cz35300,"Farmington, CO & NM",19013.0,28109,31002.0,32214,27338.0,25489.0
368,cz34001,"Hot Springs, AR",19012.0,24893,33528.0,26499,23246.0,21576.0
369,cz38401,"Lewiston, ID & WA",18950.0,29692,26821.0,30650,23938.0,25083.0
370,cz19902,"Easton, MD",18867.0,30278,30746.0,32696,27858.0,22972.0
371,cz28304,"Valentine, NE",18866.0,32582,,33591,22325.0,
372,cz7800,"Ocala, FL",18816.0,24932,35245.0,26259,26537.0,19167.0
373,cz21002,"Houghton, MI",18810.0,30742,39177.0,31392,30385.0,28616.0
374,cz35902,"Price, UT",18794.0,28593,,29353,25251.0,
375,cz20003,"Presque Isle, ME",18779.0,29005,27509.0,29838,26749.0,25589.0
376,cz28202,"Omaha, IA & NE",18698.0,32895,35600.0,34938,28345.0,22102.0
377,cz29005,"Hutchinson, KS",18692.0,30588,31206.0,31616,26631.0,21958.0
378,cz21101,"Rice Lake, WI",18626.0,31365,26757.0,32144,25695.0,21710.0
379,cz500,"Greensboro, NC & VA",18621.0,26561,30472.0,29283,23535.0,21370.0
380,cz34106,"Nome, AK",18613.0,22170,,33284,,
381,cz35500,"Gallup, AZ & NM",18611.0,23819,41215.0,29401,25193.0,28381.0
382,cz25601,"Carbondale, IL",18607.0,28291,34669.0,29336,25520.0,19873.0
383,cz302,"Knoxville, TN",18606.0,25563,36047.0,26557,25792.0,19647.0
384,cz1400,"Fayetteville, NC",18526.0,23942,31716.0,27711,25804.0,21097.0
385,cz26002,"Duluth, MN & WI",18474.0,33299,34901.0,34133,29108.0,24529.0
386,cz37903,"Mammoth Lakes, CA",18440.0,31857,35904.0,34997,26978.0,
387,cz200,"Morristown, TN",18422.0,22862,25460.0,23462,19795.0,21467.0
388,cz28702,"Glenwood Springs, CO",18366.0,31454,25727.0,33394,27599.0,31214.0
389,cz5300,"West Memphis, AR",18344.0,22952,35655.0,27927,26533.0,19540.0
390,cz34404,"Butte-Silver Bow, MT",18330.0,31958,22991.0,32668,30573.0,
391,cz27004,"Winner, SD",18250.0,33335,,34503,,
392,cz2800,"Laurel, MS",18211.0,24914,43978.0,28325,24113.0,20978.0
393,cz29104,"Salina, KS",18210.0,30919,30958.0,31883,27804.0,22165.0
394,cz1301,"Bennettsville, SC",18200.0,22887,30139.0,26691,27749.0,20254.0
395,cz9800,"Auburn, AL",18172.0,26533,40473.0,30562,23369.0,22603.0
396,cz27011,"Pierre, SD",18105.0,35653,,37434,23760.0,
397,cz25200,"Henderson, KY",18088.0,27232,41017.0,28104,22003.0,21000.0
398,cz25702,"Poplar Bluff, MO",18077.0,22809,46063.0,23458,24369.0,18059.0
399,cz23200,"Dubuque, IA & IL",18076.0,35995,36173.0,36429,32093.0,21840.0
400,cz3101,"McComb, MS",18054.0,24457,31807.0,28371,24745.0,21509.0
401,cz20301,"Berlin, NH & VT",18014.0,30291,39281.0,30831,27693.0,16497.0
402,cz2900,"Hattiesburg, MS",17948.0,25141,29519.0,28259,25167.0,20319.0
403,cz34901,"Albuquerque, NM",17942.0,27314,35877.0,31451,25569.0,24424.0
404,cz29402,"Emporia, KS",17938.0,31403,34748.0,32981,27667.0,25043.0
405,cz36700,"Eureka, CA",17797.0,27226,28902.0,28521,26546.0,24742.0
406,cz26406,"Wolf Point, MT",17658.0,30173,,34579,,
407,cz4401,"London, KY",17605.0,21957,41861.0,22549,21144.0,22795.0
408,cz1600,"Wilson, NC",17578.0,25737,38856.0,31005,23520.0,21453.0
409,cz11402,"Marinette, MI & WI",17578.0,31808,38563.0,32284,28803.0,25640.0
410,cz26304,"Minot, ND",17561.0,36167,35516.0,37100,29787.0,26435.0
411,cz39302,"Bellingham, WA",17515.0,30119,33368.0,31783,24552.0,21690.0
412,cz35702,"Burley, ID",17497.0,28162,29735.0,29914,25866.0,
413,cz32201,"Huntsville, TX",17493.0,27107,36418.0,30221,26395.0,20860.0
414,cz27603,"Southwest Jackson UT, SD",17490.0,30050,,31180,,
415,cz34802,"Santa Fe, NM",17474.0,29482,37148.0,34057,27963.0,27707.0
416,cz38100,"Yuma, AZ & CA",17448.0,22886,34131.0,30451,26557.0,23558.0
417,cz29700,"Springfield, MO",17439.0,26221,30631.0,26874,25799.0,20431.0
418,cz35901,"St. George, UT",17394.0,26861,33908.0,27518,24092.0,16895.0
419,cz26702,"Grafton, MN & ND",17339.0,36556,,37384,26582.0,
420,cz100,"Johnson City, TN & VA",17267.0,24157,35806.0,24765,21867.0,19639.0
421,cz26704,"Grand Forks, MN & ND",17199.0,35324,33296.0,36358,27651.0,30333.0
422,cz14300,"Columbus, IN",17195.0,28081,37203.0,28599,27902.0,25697.0
423,cz6401,"Chattanooga, GA & TN",17105.0,25819,37257.0,27309,23952.0,21397.0
424,cz27005,"Yankton, NE & SD",17100.0,35828,,36661,29222.0,42579.0
425,cz34603,"Casper, WY",17096.0,33786,35634.0,34827,29044.0,27605.0
426,cz16500,"Erie, NY & PA",16918.0,30158,36326.0,31006,24065.0,18958.0
427,cz30602,"Alamogordo, NM",16829.0,25966,33240.0,28604,24992.0,22457.0
428,cz36301,"Pocatello, ID",16806.0,28257,32935.0,28985,25818.0,23148.0
429,cz36402,"Vernal, UT",16774.0,30034,,31202,17580.0,
430,cz34308,"Billings, MT",16696.0,31644,33418.0,32874,25180.0,22637.0
431,cz35100,"Tucson, AZ",16652.0,27247,35291.0,30324,25724.0,23445.0
432,cz12501,"Dayton, OH",16640.0,28917,39654.0,30420,27184.0,21515.0
433,cz29504,"Sedalia, MO",16609.0,26872,28837.0,27680,22179.0,23107.0
434,cz13101,"Louisville, IN & KY",16522.0,29103,34267.0,30896,26350.0,22435.0
435,cz34203,"Great Falls, MT",16486.0,29962,27219.0,31187,27601.0,24005.0
436,cz29302,"Newton, KS",16427.0,31765,30540.0,32519,27426.0,30398.0
437,cz35904,"Richfield, UT",16409.0,28950,,29496,30930.0,
438,cz34304,"Sheridan, MT & WY",16360.0,32528,,34386,24523.0,
439,cz28001,"Sioux City, IA & NE & SD",16268.0,32662,32295.0,34391,26912.0,21596.0
440,cz25104,"Heber Springs, AR",16226.0,24147,,24734,22052.0,24039.0
441,cz10400,"Meridian, MS",16195.0,24716,32814.0,29017,23984.0,20762.0
442,cz6302,"Cookeville, TN",16076.0,24453,34138.0,24917,20762.0,17816.0
443,cz26801,"Fargo, MN & ND",16021.0,36327,35791.0,37181,25462.0,27200.0
444,cz35600,"Hilo, HI",15942.0,29598,36679.0,29922,25851.0,33499.0
445,cz21400,"St. Cloud, MN",15928.0,35758,31470.0,36388,29127.0,24293.0
446,cz25900,"Jonesboro, AR",15857.0,25034,26518.0,25855,24586.0,18921.0
447,cz16801,"Beckley, WV",15851.0,26388,37249.0,27144,27317.0,21976.0
448,cz1302,"Florence, SC",15846.0,24409,37661.0,28021,23744.0,20653.0
449,cz26701,"Bemidji, MN",15806.0,32043,33712.0,33740,27153.0,34443.0
450,cz27009,"Chamberlain, SD",15805.0,32304,,35810,,
451,cz9500,"Talladega, AL",15747.0,25102,30456.0,27161,21521.0,22893.0
452,cz26602,"Sisseton, SD",15743.0,32851,,36000,,
453,cz28101,"Lincoln, NE",15669.0,33201,36443.0,34258,26375.0,22097.0
454,cz26901,"Fergus Falls, MN",15620.0,35056,42465.0,35564,24094.0,27216.0
455,cz14700,"Evansville, IL & IN",15605.0,31132,37115.0,32141,25932.0,22343.0
456,cz34504,"Missoula, MT",15582.0,30354,30639.0,31062,29795.0,31476.0
457,cz39000,"Yakima, WA",15550.0,28466,35586.0,31266,26645.0,19859.0
458,cz30604,"Deming, NM",15507.0,23553,41927.0,28025,24181.0,23131.0
459,cz27704,"Gordon, NE & SD",15478.0,27082,,33025,34014.0,
460,cz34503,"Kalispell, MT",15458.0,28484,30808.0,29713,24402.0,28411.0
461,cz34201,"Havre, MT",15182.0,28183,,31557,22232.0,
462,cz32305,"Del Rio, TX",15181.0,27921,28329.0,33180,28631.0,31028.0
463,cz21600,"Brainerd, MN",15168.0,32078,31789.0,32950,29646.0,28798.0
464,cz20002,"Calais, ME",15166.0,23876,,24854,24346.0,
465,cz4902,"Dyersburg, TN",15147.0,23819,26476.0,26539,21505.0,20140.0
466,cz5800,"Dickson, TN",15013.0,25638,39593.0,26596,22138.0,20351.0
467,cz34202,"Shelby, MT",15012.0,29910,,32833,32472.0,
468,cz18400,"Plattsburgh, NY",14996.0,30396,38887.0,31029,27879.0,32529.0
469,cz9301,"Winder, GA",14919.0,26902,34937.0,29572,25089.0,21621.0
470,cz34112,"Bethel, AK",14885.0,15541,,31135,,
471,cz29004,"Great Bend, KS",14839.0,32269,31612.0,33153,28026.0,23802.0
472,cz32802,"Corsicana, TX",14837.0,27427,33932.0,31004,26346.0,21522.0
473,cz27701,"Scottsbluff, NE",14737.0,32394,36015.0,34225,25925.0,12038.0
474,cz13501,"Toledo, MI & OH",14700.0,30742,38863.0,32685,25964.0,21046.0
475,cz38802,"The Dalles, OR & WA",14681.0,28436,32934.0,29735,28591.0,28279.0
476,cz26503,"Sioux Falls, SD",14538.0,34102,31900.0,35101,26641.0,24858.0
477,cz33603,"Frederick, OK",14524.0,25215,,28476,23528.0,13562.0
478,cz26408,"Glasgow, MT",14491.0,32515,,33583,,
479,cz25101,"Mountain Home, AR & MO",14489.0,25548,,25877,28987.0,
480,cz27601,"Rapid City, SD",14479.0,30962,29967.0,32613,27688.0,26234.0
481,cz5100,"Corinth, MS & TN",14461.0,23814,37057.0,25093,16540.0,19142.0
482,cz34303,"Riverton, WY",14161.0,31531,,33384,28840.0,24910.0
483,cz34307,"Colstrip, MT",14083.0,28123,,33830,,
484,cz22001,"Waterloo, IA",14082.0,34070,41344.0,35179,26260.0,22246.0
485,cz26201,"Bismarck, ND",14024.0,38516,34145.0,39609,29225.0,37159.0
486,cz27008,"Parkston, SD",13955.0,34282,,36127,18640.0,
487,cz35002,"Safford, AZ",13890.0,27432,,28732,29131.0,23792.0
488,cz26004,"International Falls, MN",13819.0,32413,,33143,36541.0,
489,cz21102,"Amery, WI",13798.0,32524,29083.0,33335,27428.0,
490,cz30901,"Clovis, NM & TX",13788.0,26543,38471.0,30212,23504.0,24398.0
491,cz27006,"Mitchell, SD",13558.0,33933,,34572,33589.0,
492,cz35802,"Ontario, ID & OR",13502.0,26461,31777.0,27629,23931.0,26031.0
493,cz27602,"Eagle Butte, SD",13475.0,18295,,30228,,
494,cz16702,"Morgantown, WV",13251.0,29773,44322.0,30236,30730.0,25213.0
495,cz23301,"Charleston, IL",13188.0,28838,35417.0,29396,24627.0,26582.0
496,cz25105,"Batesville, AR",13152.0,25259,26386.0,26149,20548.0,17226.0
497,cz27102,"Marshall, MN",13138.0,35816,34630.0,36710,21322.0,17653.0
498,cz13800,"Wayne, IN",12780.0,29499,32101.0,30254,27247.0,21572.0
499,cz14600,"Bloomington, IN",12726.0,27526,38062.0,28016,26364.0,23065.0
500,cz34902,"Socorro, NM",12662.0,23531,,30573,22319.0,
501,cz25800,"Blytheville, AR & MO",12427.0,22874,40419.0,25645,24601.0,18705.0
502,cz26504,"Watertown, SD",12165.0,34431,,35069,30059.0,26902.0
503,cz26604,"Mobridge, SD",12012.0,34190,,36308,,
504,cz27605,"Mission, SD",11797.0,18113,,29464,,
505,cz28002,"West Point, NE",11648.0,34775,,36704,22176.0,
506,cz10801,"Tuscaloosa, AL",11563.0,25328,48818.0,29941,23985.0,21258.0
507,cz5401,"Bowling Green, KY",11490.0,25930,25859.0,26802,24337.0,21402.0
508,cz20902,"Pittsfield, MA & VT",11468.0,31963,36568.0,32634,27523.0,25444.0
509,cz8701,"Hinesville, GA",11298.0,24536,30538.0,26142,27416.0,22909.0
510,cz17300,"Staunton, VA",11275.0,28337,41495.0,29290,25929.0,23021.0
511,cz25300,"Union City, KY & TN",11234.0,26025,36356.0,27419,23120.0,20486.0
512,cz26301,"Devils Lake, ND",11138.0,32588,,37063,,
513,cz26603,"East Corson UT, ND & SD",10407.0,23451,,34934,,
514,cz27007,"Huron, SD",9622.0,33227,,33770,20382.0,
515,cz1204,"Andrews, GA & NC",7438.0,23839,,24794,24903.0,16041.0
516,cz28503,"Trinidad, CO",,27559,,30963,25650.0,
517,cz12800,"Washington, IN",,30655,40168.0,31048,25615.0,21365.0
518,cz26402,"Baker, MT",,37802,,38078,,
519,cz31304,"Mason, TX",,29000,,32618,16255.0,
520,cz27902,"York, NE",,35510,,36068,26960.0,
521,cz26003,"West Cook UT, MN",,30705,,31454,,
522,cz19903,"Chincoteague, VA",,26022,41225.0,29152,22722.0,21148.0
523,cz17200,"Harrisonburg, VA & WV",,28910,37660.0,29657,26756.0,24810.0
524,cz35202,"Gunnison, CO",,32320,,33264,28940.0,
525,cz6402,"Crossville, TN",,23262,38514.0,23844,19958.0,25247.0
526,cz27201,"Sioux Center, IA",,36501,37502.0,36954,28691.0,27602.0
527,cz1201,"Franklin, GA & NC",,25547,31508.0,26266,24179.0,22408.0
528,cz27402,"Fort Dodge, IA",,33982,38202.0,34631,25997.0,21772.0
529,cz32306,"Eagle Pass, TX",,27026,31692.0,31071,29541.0,
530,cz31501,"Crystal City, TX",,27863,,31669,28301.0,
531,cz5402,"Glasgow, KY & TN",,25207,30645.0,25753,20526.0,22698.0
532,cz31006,"Guymon, KS & OK & TX",,30365,,32269,30505.0,
533,cz26703,"Thief River Falls, MN",,36408,,36903,29371.0,
534,cz34104,"Bristol Bay, AK",,24040,,27940,,
535,cz12903,"Danville, KY",,24681,31771.0,25367,18091.0,22059.0
536,cz29002,"Coldwater, KS",,34838,,35975,,
537,cz32402,"Sweetwater, TX",,28136,,31266,26626.0,22075.0
538,cz30907,"Matador, TX",,21986,,22195,,
539,cz10501,"Columbus, AL & MS",,23854,33693.0,29585,25724.0,19646.0
540,cz11303,"Colonial Beach, VA",,28386,,31568,21430.0,24593.0
541,cz29102,"Superior, NE",,35673,,35962,,
542,cz26204,"Steele, ND",,39050,,40262,,
543,cz28608,"Kearney, NE",,33960,31401.0,34619,28306.0,
544,cz31007,"Dumas, TX",,29763,27608.0,32780,28094.0,26353.0
545,cz34302,"Worland, WY",,32639,,33932,27555.0,
546,cz26403,"Bowman, ND",,39455,,40494,,
547,cz27012,"Gettysburg, SD",,34522,,34532,,
548,cz39204,"Condon, OR",,35239,,34298,,
549,cz36401,"Steamboat Springs, CO",,32936,,33629,30078.0,
550,cz28607,"McCook, NE",,32684,,33140,28037.0,
551,cz4501,"West Liberty, KY",,20645,,21491,,
552,cz9702,"Americus, GA",,23933,45169.0,29316,20133.0,19585.0
553,cz13102,"Madison, IN & KY",,28805,,29495,24357.0,28133.0
554,cz14801,"Olney, IL",,29088,25783.0,29483,24697.0,30489.0
555,cz301,"Middlesborough, KY & TN",,20695,29607.0,21189,17542.0,19779.0
556,cz4800,"Greenville, MS",,21943,37343.0,32004,22619.0,18676.0
557,cz30906,"Memphis, TX",,27485,,31541,22809.0,20440.0
558,cz29001,"Pratt, KS",,31733,,32470,27192.0,
559,cz10802,"Demopolis, AL",,24982,,32356,24663.0,21797.0
560,cz26601,"Milbank, MN & SD",,36463,,36834,,
561,cz26409,"Glendive, MT & ND",,35968,,36176,32624.0,
562,cz402,"Martinsville, VA",,24942,38599.0,26703,23842.0,21855.0
563,cz30905,"Wellington, TX",,30027,,33212,24414.0,22489.0
564,cz36302,"Salmon, ID",,28920,,29462,23433.0,
565,cz11203,"Big Stone Gap, VA",,23598,44092.0,23974,22416.0,18084.0
566,cz21802,"Decorah, IA",,35640,35223.0,36048,26189.0,27096.0
567,cz26401,"Ekalaka, MT & SD",,36197,,36501,,
568,cz21201,"Hutchinson, MN",,35721,32763.0,36237,29630.0,18737.0
569,cz10101,"Bainbridge, GA",,24100,,27160,21976.0,21033.0
570,cz34309,"Harlowton, MT",,26297,,26428,,
571,cz6501,"Ellijay, GA",,23049,,23996,21612.0,
572,cz9003,"Dublin, GA",,24253,40640.0,28024,19058.0,20626.0
573,cz27301,"Spencer, IA",,36181,40414.0,36529,26114.0,35258.0
574,cz24801,"Jacksonville, IL",,29938,32125.0,30563,26895.0,20921.0
575,cz17501,"Cumberland, MD & WV",,28567,34633.0,28972,28398.0,23161.0
576,cz4601,"Campbellsville, KY",,23763,24320.0,24223,15644.0,23968.0
577,cz602,"Galax, NC & VA",,24492,,25346,23674.0,15913.0
578,cz27302,"Fairmont, IA & MN",,34780,38546.0,35402,26637.0,29892.0
579,cz27504,"Carroll, IA",,36526,36231.0,37156,29941.0,28747.0
580,cz26203,"Linton, ND",,35264,,35734,,
581,cz4101,"Crossett, AR",,25400,,27865,33959.0,18309.0
582,cz28602,"Norton, KS",,32762,,33470,24984.0,
583,cz25402,"Murray, KY",,26715,,27271,19877.0,22258.0
584,cz28606,"Wano, KS & NE",,33304,,34035,,
585,cz31103,"Gonzales, TX",,27647,,31878,27270.0,20528.0
586,cz13103,"Bardstown, KY",,29079,19201.0,30111,21818.0,22260.0
587,cz4702,"Clarksdale, MS",,23190,31565.0,29278,22177.0,19300.0
588,cz8602,"Brunswick, GA",,24556,29180.0,27375,23920.0,20954.0
589,cz29101,"Concordia, KS",,32688,,33169,20591.0,
590,cz31402,"Pecos, TX",,31231,43889.0,32044,32287.0,26725.0
591,cz27503,"Atlantic, IA",,34845,,35294,25141.0,
592,cz29103,"Beloit, KS",,34138,,34677,,
593,cz16703,"Buckhannon, WV",,27697,,28146,29802.0,
594,cz30603,"Truth or Consequences, NM",,23243,,26218,21158.0,
595,cz26302,"Carrington, ND",,38599,,39042,,
596,cz28604,"Colby, KS",,33947,,34368,30042.0,
597,cz8601,"Waycross, GA",,24072,35364.0,26424,26292.0,19121.0
598,cz23802,"Clinton, IA",,33668,36732.0,34382,27948.0,19603.0
599,cz28402,"Limon, CO",,30409,,31397,31156.0,
600,cz3002,"Yazoo City, MS",,22216,,30811,23707.0,18467.0
601,cz27003,"Ainsworth, NE",,34410,,34873,,
602,cz3202,"Natchez, LA & MS",,26023,,30871,21926.0,21864.0
603,cz28703,"Granby, CO",,32795,,32807,,
604,cz18500,"Amsterdam, NY",,30727,33312.0,31470,25461.0,23660.0
605,cz39205,"John Day, OR",,30544,,30424,,
606,cz34501,"Bonners Ferry, ID",,28160,,28607,30750.0,
607,cz4602,"Somerset, KY & TN",,21448,33865.0,21987,24293.0,14871.0
608,cz17502,"Winchester, VA & WV",,30345,43060.0,31100,27051.0,25744.0
609,cz15600,"Wheeling, OH & WV",,30761,43389.0,31313,25142.0,22733.0
610,cz26804,"Cooperstown, ND",,34744,,35089,,
611,cz29008,"Center, KS",,36095,,36451,,
612,cz28301,"Sterling, CO",,32478,32372.0,34052,27687.0,
613,cz21702,"Austin, MN",,33501,32667.0,34406,26847.0,19564.0
614,cz13502,"Defiance, OH",,31012,44433.0,31657,27020.0,24279.0
615,cz29505,"Polk, MO",,32138,,32685,21569.0,
616,cz26107,"Kirksville, MO",,28063,30464.0,28208,39206.0,27356.0
617,cz34604,"Lusk, WY",,33832,,35257,,
618,cz2100,"Washington, NC",,25993,27438.0,29814,21436.0,20806.0
619,cz3102,"Brookhaven, MS",,25315,,28223,31042.0,21302.0
620,cz31102,"La Grange, TX",,32528,,36902,28382.0,22755.0
621,cz32302,"Brady, TX",,27419,,31288,24815.0,17745.0
622,cz34306,"Jordan, MT",,24376,,25551,,
623,cz29202,"Marysville, KS",,33741,,34079,,
624,cz28302,"Ogallala, CO & NE",,32747,,33328,29715.0,
625,cz31302,"Beeville, TX",,30103,35861.0,36586,28413.0,25820.0
626,cz26101,"Moberly, MO",,27533,23765.0,28399,28789.0,18513.0
627,cz34602,"Rawlins, WY",,31643,,33061,28061.0,
628,cz31404,"Alpine, TX",,27094,,29535,31227.0,
629,cz9002,"Milledgeville, GA",,23831,37966.0,27724,26740.0,20719.0
630,cz23302,"Douglas, IL",,31037,38989.0,31362,30054.0,21290.0
631,cz4502,"Hazard, KY",,21780,62654.0,22267,25624.0,20015.0
632,cz30902,"Littlefield, TX",,27722,,33770,25200.0,22135.0
633,cz27901,"Hastings, NE",,33514,34668.0,34210,28009.0,32382.0
634,cz26802,"Lisbon, ND",,37864,,38106,24835.0,
635,cz12600,"Wayne, IN",,25730,36893.0,26345,24705.0,20854.0
636,cz12702,"Maysville, KY",,25040,,25538,32516.0,23807.0
637,cz15500,"Steubenville, OH & WV",,29756,29428.0,30584,29366.0,22261.0
638,cz32304,"Uvalde, TX",,27240,,33832,26263.0,28569.0
639,cz31403,"Fort Stockton, TX",,31188,,34306,31390.0,
640,cz23000,"Monroe, WI",,33789,37104.0,34190,27586.0,25580.0
641,cz26202,"East Grant UT, ND",,38085,,38302,,
642,cz32502,"Childress, TX",,27195,,30650,25339.0,18227.0
643,cz3201,"Jena, LA",,27010,,28878,,22469.0
644,cz10102,"Thomasville, GA",,24062,34595.0,28668,20066.0,19112.0
645,cz29007,"Township 11, KS",,32587,,33355,21374.0,
646,cz11202,"Welch, WV",,23091,,23544,,24035.0
647,cz36403,"Soda Springs, ID",,30800,,31165,32019.0,
648,cz28305,"Broken Bow, NE",,34374,,34900,29811.0,
649,cz26404,"Lemmon, ND & SD",,35472,,35940,,
650,cz28504,"Burlington, CO",,32322,,33616,22663.0,
651,cz22002,"Iowa Falls, IA",,34557,,34909,29031.0,
652,cz31002,"Ulysses, KS",,32792,,34854,28367.0,
653,cz3902,"Lake Providence, LA",,24503,,30059,21861.0,18814.0
654,cz28603,"Phillipsburg, KS",,33154,,33635,,
655,cz27502,"Creston, IA",,31337,39432.0,31944,24141.0,22879.0
656,cz29506,"Bethany, MO",,29988,,30246,25658.0,
657,cz35803,"McCall, ID",,28080,,28938,,
658,cz31003,"Scott City, KS",,34439,,35539,30180.0,
659,cz8502,"Cordele, GA",,22187,38827.0,26697,24445.0,17323.0
660,cz21801,"Mason City, IA",,33542,36557.0,34102,27820.0,28719.0
661,cz26104,"Trenton, MO",,28579,,29043,24765.0,
662,cz28601,"Oberlin, KS",,34587,,35044,34791.0,
663,cz4903,"Lexington, TN",,24792,,25547,19727.0,22116.0
664,cz6301,"McMinnville, TN",,23431,34148.0,24084,21086.0,21256.0
665,cz9302,"Toccoa, GA",,24420,36113.0,26273,22565.0,20586.0
666,cz26405,"Scobey, MT",,36248,,36710,,
667,cz10301,"Eufaula, AL & GA",,23419,,29562,23003.0,19187.0
668,cz34401,"Dillon, MT",,31060,,31869,26769.0,
669,cz26102,"Marshall, MO",,28200,37146.0,29053,26725.0,22709.0
670,cz28605,"Goodland, KS",,31538,,32464,28605.0,
671,cz4001,"Magnolia, AR",,27039,,32000,35002.0,19376.0
672,cz32603,"Seymour, TX",,31721,,32294,34549.0,13470.0
673,cz26105,"Polk, MO",,28464,,29559,23595.0,
674,cz12902,"Mount Sterling, KY",,23861,,24176,23575.0,27853.0
675,cz34702,"Kapaa, HI",,31852,36908.0,30085,30608.0,30234.0
676,cz26502,"Madison, SD",,35756,,36397,,
677,cz29006,"Hays, KS",,34690,37056.0,35219,31856.0,27998.0
678,cz39202,"Enterprise, OR",,30367,,31227,,
679,cz39301,"Friday Harbor, WA",,29702,,30648,25506.0,
680,cz20403,"Oak Bluffs, MA",,34133,,35089,,
681,cz36303,"Jackson, ID & WY",,32617,,33645,30096.0,
682,cz31202,"Burnet, TX",,26762,,28499,24525.0,21869.0
683,cz25602,"Harrisburg, IL",,27599,,28418,13454.0,17277.0
684,cz26103,"Brookfield, MO",,28911,,29699,23235.0,16898.0
