"cz","Name","Individual_Income_Excluding_Spouse_at_Age_35"
"cz28504","Burlington, CO",32322
"cz35202","Gunnison, CO",32320
"cz27009","Chamberlain, SD",32304
"cz29004","Great Bend, KS",32269
"cz28609","Lexington, NE",32268
"cz11302","Baltimore, MD",32208
"cz21004","Rhinelander, WI",32139
"cz29505","Polk, MO",32138
"cz21600","Brainerd, MN",32078
"cz26701","Bemidji, MN",32043
"cz28701","Salida, CO",31984
"cz31900","Pearland, TX",31978
"cz20902","Pittsfield, MA & VT",31963
"cz34404","Butte-Silver Bow, MT",31958
"cz19800","Wilmington, DE & MD",31958
"cz28303","Oshkosh, NE",31912
"cz39400","Seattle, WA",31891
"cz27702","Cheyenne, NE & WY",31889
"cz34204","Lewistown, MT",31877
"cz37903","Mammoth Lakes, CA",31857
"cz23400","Bloomington, IL",31855
"cz34702","Kapaa, HI",31852
"cz28800","Fort Collins, CO",31832
"cz11402","Marinette, MI & WI",31808
"cz20302","Claremont, NH & VT",31795
"cz22300","Ottumwa, IA",31773
"cz29302","Newton, KS",31765
"cz34301","Cody, WY",31756
"cz29001","Pratt, KS",31733
"cz32603","Seymour, TX",31721
"cz34403","Helena, MT",31681
"cz11301","Fredericksburg, VA",31666
"cz18700","Sunbury, PA",31656
"cz34308","Billings, MT",31644
"cz34602","Rawlins, WY",31643
"cz34103","Valdez, AK",31640
"cz28605","Goodland, KS",31538
"cz23600","Burlington, IA & IL & MO",31534
"cz34303","Riverton, WY",31531
"cz37700","Santa Rosa, CA",31467
"cz37602","Winnemucca, NV",31459
"cz28702","Glenwood Springs, CO",31454
"cz34703","Kahului, HI",31449
"cz37601","Elko, NV",31446
"cz17900","Union, NY & PA",31436
"cz29402","Emporia, KS",31403
"cz21101","Rice Lake, WI",31365
"cz25500","Centralia, IL",31362
"cz27502","Creston, IA",31337
"cz21001","Ashland, WI",31319
"cz24000","Kenosha, WI",31291
"cz23900","Peoria, IL",31277
"cz11700","Lansing, MI",31270
"cz29502","Kansas City, KS & MO",31242
"cz21003","Ironwood, MI & WI",31234
"cz31402","Pecos, TX",31231
"cz31403","Fort Stockton, TX",31188
"cz29501","Leavenworth, KS",31178
"cz34402","Bozeman, MT",31177
"cz31101","Victoria, TX",31157
"cz16100","State College, PA",31137
"cz14700","Evansville, IL & IN",31132
"cz24701","St. Louis, IL & MO",31128
"cz30501","Woodward, OK",31120
"cz15200","Cleveland, OH",31105
"cz32000","Houston, TX",31089
"cz34401","Dillon, MT",31060
"cz23500","Decatur, IL",31044
"cz23302","Douglas, IL",31037
"cz13502","Defiance, OH",31012
"cz24802","Springfield, IL",30997
"cz13300","Findlay, OH",30982
"cz27601","Rapid City, SD",30962
"cz26106","Centerville, IA",30936
"cz20700","Keene, NH & VT",30933
"cz29104","Salina, KS",30919
"cz24400","Rockford, IL",30805
"cz16200","Altoona, PA",30801
"cz36403","Soda Springs, ID",30800
"cz29204","Topeka, KS",30792
"cz38502","Wenatchee, WA",30782
"cz30904","Pampa, TX",30775
"cz12701","Cincinnati, KY & OH",30772
"cz15600","Wheeling, OH & WV",30761
"cz14900","Gary, IN",30743
"cz21002","Houghton, MI",30742
"cz13501","Toledo, MI & OH",30742
"cz18500","Amsterdam, NY",30727
"cz24200","Bourbonnais, IL",30718
"cz26003","West Cook UT, MN",30705
"cz12800","Washington, IN",30655
"cz18100","Elmira, NY & PA",30639
"cz32403","Snyder, TX",30632
"cz11401","Marquette, MI",30605
"cz22602","Shawano, WI",30601
"cz29005","Hutchinson, KS",30588
"cz39205","John Day, OR",30544
"cz29203","Manhattan, KS",30513
"cz38801","Portland, OR & WA",30486
"cz23700","Galesburg, IL",30458
"cz20100","Portland, ME",30454
"cz38200","Santa Barbara, CA",30440
"cz28402","Limon, CO",30409
"cz18900","Williamsport, PA",30408
"cz31201","Austin, TX",30405
"cz34108","Kodiak, AK",30400
"cz18400","Plattsburgh, NY",30396
"cz24900","Edwardsville, IL",30387
"cz34111","Ketchikan, AK",30385
"cz29601","Columbia, MO",30372
"cz39202","Enterprise, OR",30367
"cz31006","Guymon, KS & OK & TX",30365
"cz29003","Dodge City, KS",30357
"cz34504","Missoula, MT",30354
"cz17502","Winchester, VA & WV",30345
"cz11600","Detroit, MI",30329
"cz2400","Richmond, VA",30316
"cz20301","Berlin, NH & VT",30291
"cz19902","Easton, MD",30278
"cz37400","Sacramento, CA & NV",30183
"cz26406","Wolf Point, MT",30173
"cz16500","Erie, NY & PA",30158
"cz14100","Fort Wayne, IN",30134
"cz39302","Bellingham, WA",30119
"cz36100","Salt Lake City, UT",30110
"cz31302","Beeville, TX",30103
"cz27603","Southwest Jackson UT, SD",30050
"cz32401","Big Spring, TX",30048
"cz36402","Vernal, UT",30034
"cz30905","Wellington, TX",30027
"cz38000","San Diego, CA",30022
"cz38300","Los Angeles, AZ & CA",30002
"cz29506","Bethany, MO",29988
"cz17800","Oneonta, NY",29984
"cz25000","Quincy, IL & MO",29968
"cz34203","Great Falls, MT",29962
"cz24801","Jacksonville, IL",29938
"cz34202","Shelby, MT",29910
"cz18201","Olean, NY & PA",29881
"cz15000","Canton, OH",29855
"cz1701","Raleigh, NC",29842
"cz14500","Lafayette, IL & IN",29830
"cz34110","Sitka, AK",29787
"cz31001","Garden City, KS",29781
"cz16702","Morgantown, WV",29773
"cz15100","Lorain, OH",29772
"cz3500","Baton Rouge, LA",29769
"cz17400","Hagerstown, MD & PA & WV",29768
"cz31007","Dumas, TX",29763
